	As	Cd	Co	Cr	Cu	Fe	La	Mn	Ni	Y	Yb	Zn
YMR077C	-1	-1	0	-1	-1	0	1	0	1	1	1	0
YMR202W	-1	-1	0	0	-1	-1	-1	0	-1	1	1	-1
YMR216C	0	-1	0	-1	0	0	1	0	0	1	1	0
YMR272C	0	0	0	0	0	0	-1	0	0	1	1	0
YMR307W	-1	0	0	-1	0	0	-1	0	0	1	1	0
YNL080C	0	-1	-1	0	0	0	1	0	-1	1	1	-1
YNL097C	-1	0	0	0	0	0	1	0	0	1	1	0
YNL139C	0	0	0	0	0	0	1	0	0	1	1	0
YNL147W	0	-1	0	0	0	0	1	0	-1	0	1	0
YNL153C	-1	0	0	0	0	0	1	0	0	1	1	-1
YNL235C	0	0	0	0	0	0	1	0	1	-1	-1	0
YNL238W	0	0	-1	0	0	0	-1	0	0	1	1	-1
YNL273W	0	0	0	0	0	0	1	0	0	1	1	0
YNL296W	0	0	0	-1	0	0	1	0	0	1	1	-1
YNL322C	0	0	-1	0	-1	0	-1	0	0	1	1	0
YNR005C	0	-1	0	0	0	0	1	0	1	1	1	0
YNR006W	-1	-1	-1	0	-1	0	1	0	1	1	1	-1
YNR052C	-1	-1	-1	-1	0	0	-1	-1	-1	1	1	-1
YOL006C	0	0	-1	0	-1	-1	-1	0	0	1	1	-1
YOL018C	-1	-1	-1	0	-1	0	-1	-1	1	-1	-1	-1
YOL072W	-1	0	0	-1	0	0	-1	0	-1	1	1	0
YOL090W	0	0	0	0	0	0	1	0	0	1	1	0
YOL111C	0	0	0	0	0	0	1	0	0	1	1	-1
YOL115W	0	-1	0	0	0	0	1	0	0	1	1	0
YOR008C	0	0	0	0	0	0	1	0	-1	1	1	0
YOR035C	0	0	-1	-1	-1	0	1	0	0	1	1	0
YOR061W	0	0	0	0	-1	-1	1	0	0	1	1	0
YOR069W	0	-1	0	0	-1	0	-1	0	1	1	1	0
YOR101W	0	0	0	0	0	0	1	0	0	1	1	0
YOR220W	0	0	0	0	0	0	1	0	0	1	1	0
YPL031C	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1
YPL045W	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1
YPL056C	0	0	0	0	0	0	-1	0	0	-1	-1	0
YPL057C	0	0	0	-1	-1	-1	-1	-1	0	-1	-1	0
YPL065W	0	-1	0	-1	0	0	1	0	1	1	1	0
YPL084W	-1	-1	-1	0	0	-1	1	-1	1	1	1	0
YPL136W	0	0	0	0	0	0	1	0	0	1	1	0
YPL138C	0	0	0	0	0	0	1	0	0	1	1	0
YPL157W	0	0	0	0	0	0	-1	0	0	0	-1	0
YPR046W	0	0	0	0	0	0	1	0	0	1	1	0
YPR119W	-1	0	0	-1	0	0	1	0	0	1	1	0
YPR126C	0	0	0	0	0	0	1	0	0	1	1	0
YPR141C	0	0	0	0	0	0	1	0	0	1	1	0
YPR159W	0	0	0	0	0	0	-1	0	0	1	1	0
YPR160W	-1	0	0	0	0	0	1	0	0	1	1	0
YPR163C	0	-1	0	0	0	0	-1	0	0	-1	-1	0
YPR173C	0	-1	-1	-1	0	-1	1	-1	1	1	1	-1
YAL016W	-1	-1	-1	-1	-1	0	-1	-1	-1	1	0	-1
YAL020C	0	0	0	0	0	0	0	0	0	1	1	0
YAL026C	0	-1	-1	-1	0	0	-1	0	-1	0	0	-1
YAR003W	-1	0	0	0	0	0	-1	0	0	0	0	0
YAR018C	0	0	0	0	-1	0	0	0	0	1	1	0
YBL006C	-1	0	0	0	0	0	-1	0	0	0	0	0
YBL007C	-1	-1	-1	-1	0	0	1	0	-1	1	0	0
YBL016W	0	0	0	0	0	0	1	0	0	0	0	0
YBL024W	-1	0	0	0	0	0	1	0	0	0	0	0
YBL025W	0	-1	0	-1	0	0	1	0	-1	0	0	-1
YBL047C	-1	0	0	0	-1	0	1	-1	0	0	0	0
YBL071C-B	0	0	0	0	0	0	-1	0	0	0	0	0
YBL071W-A	0	0	0	0	0	0	-1	0	0	-1	0	0
YBL083C	0	0	0	0	0	0	0	0	1	0	1	0
YBR012C	0	0	0	0	0	0	1	0	0	0	0	0
YBR026C	0	0	0	0	0	0	-1	0	0	0	0	0
YBR032W	0	0	0	0	0	0	0	0	0	0	1	0
YBR041W	0	0	0	0	0	0	1	0	0	0	0	0
YBR042C	0	0	0	0	0	0	1	0	0	0	0	0
YBR048W	0	0	0	0	0	0	-1	0	0	0	0	0
YBR089C-A	0	0	0	0	0	0	1	0	0	0	0	0
YBR094W	-1	0	0	0	0	0	1	0	0	0	0	0
YBR111W-A	0	0	0	0	0	0	-1	0	0	0	0	0
YBR126C	-1	0	0	-1	0	0	0	0	1	0	1	0
YBR127C	-1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1
YBR132C	0	0	0	0	0	0	1	0	0	0	0	0
YBR147W	-1	0	0	0	-1	0	1	0	0	1	0	0
YBR173C	-1	-1	-1	0	0	0	0	0	0	0	1	0
YBR178W	0	0	0	0	0	0	1	0	0	0	0	0
YBR181C	0	0	0	0	0	0	-1	0	0	0	0	0
YBR275C	0	0	0	1	0	0	1	0	0	0	0	0
YBR276C	0	0	0	0	0	0	1	0	0	0	0	0
YBR281C	-1	0	0	-1	0	0	1	0	0	0	0	0
YBR282W	-1	0	0	-1	0	0	1	0	0	-1	0	0
YBR284W	-1	0	0	0	0	0	1	0	0	1	0	0
YBR287W	0	0	0	0	0	0	-1	0	0	0	0	-1
YBR290W	0	-1	0	0	0	0	0	-1	1	0	1	0
YCL005W-A	0	-1	0	-1	0	0	-1	0	-1	0	0	-1
YCL007C	0	0	0	0	0	-1	-1	-1	-1	-1	0	-1
YCL032W	-1	0	0	0	0	0	0	0	0	1	1	0
YCL058C	0	0	0	0	0	0	-1	0	0	0	0	0
YCR004C	0	0	0	0	0	0	1	0	0	0	0	0
YCR023C	0	0	0	0	0	0	1	0	0	1	0	0
YCR024C-A	0	0	0	0	-1	0	1	0	0	1	0	0
YCR025C	-1	0	0	0	0	0	1	0	0	1	0	0
YCR026C	-1	-1	0	0	0	0	1	0	0	1	0	0
YCR028C	0	0	0	0	0	-1	-1	0	0	0	0	0
YCR028C-A	0	0	0	0	0	0	1	0	0	0	0	0
YCR047C	-1	-1	0	0	0	0	-1	0	0	0	0	0
YCR050C	-1	-1	-1	0	0	0	1	0	0	1	0	0
YCR059C	0	0	0	0	0	0	1	0	0	0	0	0
YCR061W	-1	0	0	0	0	0	1	0	0	1	0	0
YCR071C	-1	0	0	0	0	0	1	0	0	0	0	0
YCR081W	-1	-1	0	-1	0	-1	1	0	1	1	0	0
YCR088W	0	0	0	0	0	0	1	0	0	0	0	0
YDL025C	0	0	0	0	0	0	1	0	0	0	0	0
YDL040C	0	0	0	0	0	0	1	0	0	0	0	0
YDL041W	0	0	0	0	-1	0	0	0	0	0	1	0
YDL042C	0	0	0	0	0	0	0	0	0	0	1	0
YDL047W	-1	-1	0	-1	0	-1	-1	0	1	0	0	0
YDL052C	-1	0	0	0	0	0	-1	0	0	0	0	-1
YDL068W	0	0	0	-1	0	0	0	0	0	1	1	0
YDL073W	-1	0	0	0	0	0	0	0	0	0	1	0
YDL075W	0	0	0	0	0	0	-1	-1	0	0	0	-1
YDL077C	0	-1	0	-1	0	0	-1	0	-1	1	0	0
YDL081C	-1	-1	0	0	0	0	0	-1	1	1	1	0
YDL083C	0	0	0	0	0	0	-1	0	0	0	0	0
YDL106C	-1	-1	0	0	0	-1	-1	0	0	0	0	0
YDL146W	-1	0	0	0	-1	0	1	0	0	0	0	0
YDL159W	0	0	0	0	0	0	0	0	0	1	1	0
YDL160C	-1	-1	-1	0	-1	0	-1	0	0	-1	0	-1
YDL161W	0	0	0	0	0	0	1	0	0	0	0	0
YDL176W	0	0	0	0	0	0	1	0	0	0	0	0
YDL185W	0	-1	-1	0	0	0	-1	-1	-1	0	0	-1
YDL191W	0	0	0	0	0	0	1	0	0	0	0	0
YDR028C	-1	0	0	0	0	0	0	0	1	0	1	0
YDR067C	0	0	0	0	-1	0	1	0	0	0	0	0
YDR094W	0	0	0	0	0	0	1	0	0	0	0	0
YDR103W	0	0	0	0	0	0	1	0	0	0	0	0
YDR105C	0	0	0	0	0	-1	1	0	0	0	0	0
YDR108W	0	0	0	0	-1	0	-1	0	0	0	0	0
YDR129C	0	-1	0	-1	-1	0	1	0	-1	0	0	-1
YDR136C	-1	-1	0	0	0	0	-1	-1	0	0	0	0
YDR137W	-1	-1	0	0	0	0	-1	-1	0	0	0	0
YDR140W	0	-1	0	0	0	0	-1	0	0	0	0	0
YDR144C	0	0	0	0	0	0	0	0	0	0	1	0
YDR153C	0	0	0	0	0	0	1	0	0	0	0	0
YDR159W	0	0	0	0	0	0	0	0	-1	1	1	0
YDR173C	-1	0	0	0	0	0	-1	0	0	-1	0	0
YDR195W	0	-1	0	0	0	0	-1	0	0	0	0	0
YDR200C	0	0	0	-1	-1	0	0	-1	1	1	1	0
YDR207C	-1	-1	0	0	-1	0	-1	-1	-1	0	0	0
YDR227W	-1	0	0	0	0	0	0	0	0	0	1	0
YDR237W	0	0	-1	0	0	0	1	0	0	0	0	0
YDR245W	0	-1	-1	-1	-1	0	-1	0	0	0	0	0
YDR264C	-1	-1	0	-1	0	0	0	0	0	1	1	-1
YDR268W	-1	0	0	0	0	0	1	0	0	0	0	0
YDR320C	0	0	0	0	-1	0	-1	-1	0	0	0	0
YDR346C	0	0	0	0	0	0	1	0	0	0	0	0
YDR357C	0	0	0	0	0	0	1	0	0	0	0	0
YDR360W	0	0	0	0	-1	0	1	0	0	0	0	0
YDR363W-A	0	0	0	-1	-1	0	0	0	0	1	1	0
YDR364C	0	0	0	0	0	0	-1	0	0	0	0	0
YDR378C	0	0	0	0	0	0	1	0	0	0	0	0
YDR391C	0	0	0	0	-1	0	1	0	0	0	0	0
YDR414C	0	0	0	0	-1	0	-1	1	0	0	0	0
YDR417C	1	0	0	0	0	-1	-1	0	0	0	0	0
YDR418W	0	0	-1	0	0	-1	-1	0	-1	0	0	0
YDR431W	0	0	0	0	0	0	1	0	0	0	0	0
YDR433W	0	0	0	0	0	0	0	0	0	1	1	0
YDR435C	0	0	0	0	0	0	1	1	0	0	0	0
YDR442W	-1	-1	0	-1	0	0	1	0	0	1	0	0
