	As	Cd	Co	Cr	Cu	Fe	La	Mn	Ni	Y	Yb	Zn
YKL139W	0	-1	0	-1	0	0	-1	0	-1	0	0	0
YKL158W	0	0	0	0	0	0	-1	0	0	0	0	0
YKL204W	-1	0	-1	0	0	0	-1	-1	0	0	0	0
YKL213C	-1	-1	-1	0	0	0	1	-1	0	1	0	0
YKR001C	0	-1	0	-1	-1	-1	-1	-1	1	-1	0	-1
YKR004C-A	0	0	0	0	0	0	-1	0	0	1	0	0
YKR007W	-1	0	0	0	0	0	-1	0	0	0	0	0
YKR019C	0	-1	-1	0	-1	0	-1	-1	0	0	0	0
YKR028W	0	0	0	0	0	0	1	1	1	0	0	0
YKR035C	0	0	-1	0	-1	0	0	0	0	1	1	0
YKR035W-A	0	-1	-1	-1	0	0	0	0	1	1	1	0
YKR042W	1	0	0	0	-1	0	0	0	0	1	1	0
YKR057W	0	0	0	0	0	0	-1	0	0	0	0	0
YKR085C	0	0	0	-1	0	-1	1	0	0	0	0	0
YKR099W	-1	0	0	0	0	0	0	0	-1	0	-1	0
YKR101W	0	0	0	0	0	0	0	0	0	1	1	0
YLL013C	0	0	0	-1	-1	0	1	0	0	0	0	-1
YLL028W	0	0	0	0	0	0	1	0	0	0	0	-1
YLL030C	0	0	0	0	0	0	0	1	0	1	1	0
YLL033W	0	0	0	0	0	-1	1	0	0	0	0	0
YLL045C	0	0	0	0	0	-1	1	0	0	1	0	0
YLR006C	-1	0	0	0	0	0	1	0	0	0	0	-1
YLR020C	0	0	0	0	0	0	-1	0	0	0	0	0
YLR025W	-1	-1	0	-1	-1	0	0	0	1	1	1	0
YLR027C	-1	-1	-1	0	-1	0	1	0	1	1	0	0
YLR039C	-1	-1	0	0	0	0	-1	-1	0	0	0	0
YLR047C	0	-1	0	0	0	0	1	0	0	0	0	-1
YLR087C	-1	-1	0	0	0	0	0	1	-1	1	1	-1
YLR138W	0	0	0	0	0	0	1	0	0	0	0	0
YLR169W	0	0	0	0	-1	0	1	0	0	0	0	0
YLR176C	0	0	0	0	0	0	1	0	0	0	0	-1
YLR182W	0	-1	0	0	0	0	-1	0	0	0	0	-1
YLR184W	1	0	0	0	0	0	0	0	0	0	1	0
YLR185W	1	0	0	0	0	0	0	0	0	0	1	0
YLR206W	0	0	0	0	0	-1	1	0	0	1	0	0
YLR216C	0	0	0	0	0	0	1	0	0	1	0	0
YLR217W	0	0	0	0	0	0	1	0	0	1	0	0
YLR224W	0	0	0	0	0	0	1	0	0	0	0	0
YLR233C	0	0	0	0	0	-1	-1	-1	0	0	0	0
YLR240W	-1	-1	-1	-1	0	0	-1	0	0	0	0	-1
YLR242C	-1	0	0	0	0	0	1	0	1	1	0	0
YLR261C	-1	0	0	0	0	0	-1	-1	0	0	0	0
YLR262C	-1	-1	0	0	0	0	-1	-1	0	0	0	0
YLR264C-A	0	0	0	0	0	0	-1	0	0	0	0	0
YLR264W	1	0	0	0	0	0	-1	0	0	0	0	0
YLR322W	-1	-1	0	0	0	0	-1	0	0	0	0	-1
YLR332W	0	-1	0	0	0	0	1	0	0	0	0	0
YLR337C	-1	-1	-1	-1	-1	-1	1	0	0	1	0	0
YLR357W	0	0	0	0	0	0	-1	0	1	1	0	0
YLR360W	0	-1	0	0	0	0	-1	0	1	0	0	0
YLR361C	0	0	0	1	0	0	-1	0	0	1	0	0
YLR362W	0	-1	0	0	0	0	0	0	0	0	1	-1
YLR370C	0	-1	0	-1	-1	0	1	0	0	1	0	0
YLR371W	0	0	0	0	0	0	1	0	0	1	0	0
YLR374C	-1	0	0	-1	-1	-1	-1	0	0	-1	0	0
YLR380W	0	0	0	0	0	0	-1	0	0	0	0	0
YLR407W	0	-1	0	0	0	0	1	0	-1	1	0	0
YLR408C	0	0	0	0	0	0	1	0	0	1	0	0
YLR414C	0	0	0	0	0	0	-1	-1	0	0	0	0
YLR417W	-1	-1	0	-1	0	0	0	0	1	1	1	0
YLR425W	0	-1	0	-1	-1	0	1	0	0	1	0	0
YLR441C	0	0	0	0	0	0	-1	0	0	0	0	0
YLR442C	0	0	0	0	0	0	0	0	0	0	1	0
YML007C-A	0	0	0	0	0	0	1	0	0	0	0	0
YML017W	0	0	0	0	0	0	1	0	0	0	0	0
YML024W	0	-1	-1	-1	0	0	-1	0	0	0	0	0
YML026C	-1	0	0	0	0	0	-1	0	0	0	0	0
YML071C	0	-1	0	-1	-1	0	-1	0	0	0	0	0
YML072C	0	0	0	0	-1	0	1	0	0	0	0	0
YML097C	0	-1	-1	-1	-1	0	-1	1	0	1	0	-1
YML111W	0	0	0	0	0	0	1	0	0	1	0	0
YML116W	0	0	0	0	0	0	1	0	0	1	0	0
YML121W	-1	0	0	0	0	0	-1	0	0	0	0	0
YML128C	0	0	0	0	-1	0	-1	0	0	0	0	0
YMR004W	-1	0	0	0	0	0	-1	0	0	0	0	0
YMR031C	0	0	0	0	0	0	1	0	0	0	0	0
YMR035W	0	0	0	0	0	-1	0	0	0	0	1	0
YMR102C	0	0	0	0	0	0	1	0	0	0	0	0
YMR106C	0	0	0	0	0	0	1	-1	0	0	0	0
YMR109W	0	0	0	0	0	0	1	0	0	0	0	0
YMR110C	0	0	0	0	0	0	0	0	0	0	1	0
YMR123W	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1
YMR124W	0	0	0	0	0	0	1	0	0	0	0	0
YMR127C	-1	0	0	0	0	0	1	0	0	0	0	0
YMR143W	1	0	0	0	0	0	-1	0	0	-1	0	0
YMR154C	0	1	0	-1	0	0	1	0	1	0	0	0
YMR158W	0	0	-1	0	0	0	1	0	0	0	0	0
YMR174C	0	0	0	0	0	0	0	0	0	1	1	0
YMR183C	0	0	0	0	-1	0	-1	0	0	0	0	0
YMR230W	0	0	0	0	0	0	-1	0	0	0	0	0
YMR231W	0	-1	0	0	0	0	0	0	-1	1	1	-1
YMR238W	0	-1	0	0	0	0	-1	0	0	0	0	0
YMR242C	0	0	0	-1	0	0	-1	0	0	0	0	0
YMR242W-A	0	0	0	0	0	0	-1	0	0	0	0	0
YMR266W	0	0	0	0	0	0	0	0	0	0	1	0
YMR267W	0	0	0	0	-1	0	0	0	0	0	1	0
YMR269W	1	0	0	1	0	0	-1	0	0	0	0	0
YMR275C	-1	-1	0	-1	-1	0	1	0	1	1	0	0
YMR313C	0	0	0	0	-1	0	1	0	0	0	0	0
YNL032W	-1	0	0	0	-1	0	0	0	1	1	1	0
YNL037C	0	0	0	0	0	0	1	0	0	1	0	0
YNL041C	0	0	-1	0	-1	0	-1	-1	0	0	0	0
YNL051W	0	-1	0	0	0	0	-1	0	0	0	0	0
YNL055C	0	0	0	0	0	-1	-1	0	0	0	0	0
YNL059C	0	-1	0	0	0	0	0	0	0	0	-1	-1
YNL084C	0	-1	0	-1	-1	0	1	-1	0	1	0	0
YNL090W	0	0	0	0	0	0	1	0	0	0	0	0
YNL099C	0	0	0	0	-1	0	0	0	1	1	1	0
YNL105W	0	0	-1	0	-1	0	1	0	0	0	0	0
YNL106C	0	0	0	0	-1	0	1	0	0	0	0	0
YNL107W	-1	0	0	0	0	0	-1	-1	0	0	0	0
YNL111C	0	0	0	0	0	0	1	0	0	0	0	0
YNL119W	0	0	-1	-1	-1	0	-1	0	0	0	0	0
YNL136W	0	-1	0	0	0	0	1	0	1	0	0	0
YNL138W	0	0	0	0	0	0	0	1	0	1	1	0
YNL177C	0	0	0	0	0	0	1	0	0	0	0	0
YNL192W	0	0	0	0	0	0	0	0	0	1	1	0
YNL197C	0	-1	0	0	-1	0	0	-1	-1	1	1	-1
YNL198C	0	0	0	0	0	0	1	0	0	0	0	0
YNL215W	-1	0	0	0	0	0	1	0	0	0	0	0
YNL236W	0	0	0	-1	-1	0	0	0	0	-1	-1	0
YNL248C	-1	0	0	0	-1	0	-1	0	0	0	0	0
YNL264C	0	0	0	0	0	0	0	0	0	0	1	0
YNL280C	-1	-1	0	0	0	-1	-1	0	-1	1	0	0
YNL291C	0	0	-1	0	-1	0	1	0	0	0	0	0
YNL293W	0	0	0	0	0	0	1	0	0	0	0	0
YNL298W	-1	0	0	0	-1	0	1	0	-1	0	0	0
YNL302C	-1	-1	0	0	0	0	-1	0	0	-1	0	0
YNL307C	-1	0	0	0	0	0	-1	0	0	0	0	-1
YNL323W	0	0	0	0	0	0	-1	0	0	1	0	0
YNL326C	0	0	0	0	0	0	-1	0	0	0	0	0
YNR031C	-1	0	0	0	-1	0	0	0	0	1	1	0
YNR032C-A	0	0	0	0	0	0	0	0	0	1	1	0
YNR047W	0	0	0	0	0	0	-1	0	0	1	0	0
YNR049C	0	0	0	0	0	0	-1	0	0	0	0	0
YNR058W	0	0	0	0	0	0	-1	0	0	0	0	0
YNR067C	0	0	0	0	0	0	1	0	0	1	0	0
YOL004W	-1	0	0	0	0	0	0	0	-1	1	1	0
YOL012C	-1	0	0	0	0	-1	-1	-1	1	0	0	0
YOL013C	0	0	0	0	0	0	0	0	-1	1	1	0
YOL044W	0	0	0	0	0	0	1	0	0	0	0	0
YOL050C	0	0	0	0	0	0	1	0	0	0	0	0
YOL087C	-1	0	0	0	0	0	-1	0	0	0	0	0
YOL107W	0	0	0	0	0	0	1	0	0	1	0	0
YOL110W	0	0	0	0	0	0	1	1	0	0	0	0
YOL122C	0	1	0	0	0	0	-1	0	-1	0	0	0
YOL129W	0	0	0	0	0	0	1	0	0	0	0	0
YOL162W	0	0	-1	0	0	0	1	-1	0	1	0	0
YOR002W	0	0	0	0	0	0	0	0	0	0	1	0
YOR026W	0	0	-1	0	-1	-1	1	-1	-1	1	0	-1
YOR036W	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	-1
YOR067C	0	0	0	0	0	0	0	0	0	0	1	0
YOR068C	0	-1	0	0	-1	0	-1	0	1	1	0	0
YOR085W	0	0	0	0	-1	-1	0	0	0	1	1	0
YOR086C	0	0	0	0	0	0	1	0	0	0	0	0
YOR096W	0	0	0	-1	0	0	-1	0	0	0	0	0
YOR105W	0	0	0	0	0	0	0	0	0	1	1	0
YOR106W	0	-1	0	-1	0	0	-1	0	-1	0	0	-1
YOR109W	-1	0	0	-1	0	0	0	0	0	1	1	0
YOR112W	0	0	0	0	0	0	0	0	0	1	1	0
YOR124C	-1	0	0	0	0	0	0	0	0	1	1	0
YOR132W	0	-1	0	0	-1	0	0	0	1	1	1	0
YOR135C	0	0	0	0	0	0	0	0	0	1	1	0
YOR136W	0	0	0	0	-1	-1	0	0	0	1	1	0
YOR150W	0	0	0	0	0	-1	0	0	0	1	1	0
YOR199W	0	0	0	0	0	0	1	1	1	0	0	0
YOR208W	0	0	0	0	0	0	0	0	0	1	1	0
YOR212W	0	0	0	0	0	0	0	0	0	1	1	0
YOR235W	0	0	0	0	0	0	-1	0	0	0	0	0
YOR251C	0	0	-1	0	0	0	1	0	0	0	0	-1
YOR265W	-1	0	0	0	0	0	0	0	0	1	1	0
YOR295W	-1	0	0	0	0	0	-1	0	0	0	0	0
YOR317W	0	0	0	0	0	0	1	0	0	0	0	0
YOR331C	0	0	-1	-1	0	0	-1	-1	-1	0	0	-1
YOR369C	0	0	0	0	0	0	0	1	0	1	1	0
YPL002C	-1	-1	0	-1	0	0	0	0	1	1	1	0
YPL050C	-1	-1	0	-1	-1	0	-1	1	0	0	0	-1
YPL051W	0	-1	0	0	-1	0	-1	0	0	0	0	0
YPL120W	0	-1	0	0	0	0	-1	0	1	1	0	0
YPL129W	-1	-1	-1	0	0	0	-1	0	0	0	0	0
YPL139C	0	0	0	0	0	0	1	0	0	0	0	0
YPL145C	0	0	0	0	0	0	-1	0	0	0	0	0
YPL152W	0	0	-1	0	-1	0	1	0	-1	0	0	0
YPL180W	-1	0	0	0	-1	0	1	0	0	1	0	0
YPL181W	0	-1	0	0	0	0	1	0	-1	0	0	0
YPL183W-A	-1	0	0	0	0	0	0	0	0	0	1	0
YPL193W	0	0	0	0	0	0	-1	0	0	0	0	0
YPL205C	0	0	0	0	-1	-1	0	0	0	1	1	0
YPL226W	0	0	0	0	-1	-1	-1	0	0	0	0	0
YPL232W	0	0	0	0	0	0	-1	0	0	0	0	0
YPL249C-A	1	0	0	0	0	0	-1	0	0	0	0	0
YPL259C	-1	0	-1	0	-1	0	-1	-1	0	0	0	0
YPR018W	0	0	0	0	0	0	0	0	0	1	1	0
YPR036W	-1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1
YPR039W	0	0	0	0	0	0	1	0	0	0	0	0
YPR049C	0	0	-1	-1	0	0	0	0	0	0	1	0
YPR067W	-1	-1	0	0	0	0	1	0	0	0	0	0
YPR074C	-1	0	0	0	0	0	1	0	0	0	0	0
YPR095C	0	0	0	0	0	0	-1	0	0	0	0	0
YPR099C	0	0	0	0	0	0	-1	0	0	0	0	-1
YPR101W	0	-1	0	0	0	0	1	0	0	1	0	0
